suite	language	ms_mean	peak_rss_kb
hello	Nyra	2.1220	1040
arithmetic	Nyra	2.1551	1040
dungeon	Nyra	2.1290	1040
loop	Nyra	1179.0800	1040
fib	Nyra	1177.4480	1040
nested	Nyra	52.3344	1040
struct_sum	Nyra	2.0914	1040
loop_nofold	Nyra	1178.3440	1040
cpu_bound	Nyra	808.2440	1040
mix	Nyra	1527.7020	1040
escape_local_channel	Nyra	3.6289	1040
escape_spawn_channel	Nyra	51.4814	1072
escape_point_sroa	Nyra	2.1064	1040
memory_alloc_struct	Nyra	11.3199	1072
memory_free_struct	Nyra	11.0756	1104
memory_arena	Nyra	4.3540	1040
memory_ownership	Nyra	3.7169	1040
strings_concat	Nyra	1475.3800	3360208
strings_substring	Nyra	4.2802	2624
strings_replace	Nyra	5.1886	2624
strings_split	Nyra	4.6796	2752
strings_utf8	Nyra	8.5089	1040
collections_hashmap	Nyra	34.4784	8640
collections_hashset	Nyra	34.4070	8672
collections_vec_push	Nyra	3.9401	3056
collections_vec_pop	Nyra	4.8806	3056
collections_sort	Nyra	2.4734	1328
algorithms_qsort	Nyra	2.4517	1040
algorithms_mergesort	Nyra	2.2752	1040
algorithms_binary_search	Nyra	2.1046	1040
algorithms_json_parse	Nyra	15.9545	1040
algorithms_regex	Nyra	18.5455	1136
concurrency_spawn_tasks	Nyra	31.5212	1424
concurrency_channel_pingpong	Nyra	51.0538	1072
concurrency_worker_pool	Nyra	10793.2800	3248
concurrency_parallel_map	Nyra	3.4450	1136
cpu_bound_pgo	Nyra	814.0100	1040
hello	Nyra-typed	2.1564	1040
arithmetic	Nyra-typed	2.1813	1040
dungeon	Nyra-typed	2.0690	1040
loop	Nyra-typed	1182.1680	1040
fib	Nyra-typed	1177.5280	1040
nested	Nyra-typed	52.4884	1040
struct_sum	Nyra-typed	2.0816	1040
loop_nofold	Nyra-typed	1177.7120	1040
cpu_bound	Nyra-typed	808.8380	1040
mix	Nyra-typed	1528.7700	1040
memory_alloc_struct	Nyra-typed	11.8550	1072
memory_free_struct	Nyra-typed	11.8094	1072
memory_arena	Nyra-typed	4.6841	1040
memory_ownership	Nyra-typed	4.0945	1040
strings_concat	Nyra-typed	1526.9020	3389952
strings_substring	Nyra-typed	4.7069	2624
strings_replace	Nyra-typed	5.5296	2624
strings_split	Nyra-typed	4.6424	2624
strings_utf8	Nyra-typed	8.5726	1040
collections_hashmap	Nyra-typed	34.8680	8768
collections_hashset	Nyra-typed	34.5860	8640
collections_vec_push	Nyra-typed	4.2276	3120
collections_vec_pop	Nyra-typed	5.3084	3056
collections_sort	Nyra-typed	2.5803	1296
algorithms_qsort	Nyra-typed	2.4749	1040
algorithms_mergesort	Nyra-typed	2.4933	1040
algorithms_binary_search	Nyra-typed	2.3133	1040
algorithms_json_parse	Nyra-typed	16.2291	1040
algorithms_regex	Nyra-typed	18.8368	1072
concurrency_spawn_tasks	Nyra-typed	31.5756	1456
concurrency_channel_pingpong	Nyra-typed	51.8880	1072
concurrency_worker_pool	Nyra-typed	10764.4000	3184
concurrency_parallel_map	Nyra-typed	3.4203	1152
cpu_bound_pgo	Nyra-typed	814.8640	1040
hello	C	2.3020	1040
arithmetic	C	2.4409	1072
dungeon	C	2.1721	1040
loop	C	1298.8840	1040
fib	C	1303.3520	1040
nested	C	57.8440	1040
struct_sum	C	2.1280	1040
loop_nofold	C	1295.3520	1056
cpu_bound	C	462.5680	1056
mix	C	1797.8000	1040
memory_alloc_struct	C	4.0010	1040
memory_free_struct	C	3.9026	1040
memory_arena	C	3.9280	1040
memory_ownership	C	4.0266	1040
hello	C++	2.2364	1040
arithmetic	C++	2.3370	1056
dungeon	C++	2.3036	1056
loop	C++	1295.2040	1056
fib	C++	1295.8100	1056
nested	C++	57.6682	1056
struct_sum	C++	2.1645	1056
loop_nofold	C++	1306.0240	1056
cpu_bound	C++	467.6940	1056
mix	C++	1803.3820	1056
hello	Go	3.0624	3600
arithmetic	Go	3.0902	3616
dungeon	Go	2.9256	3440
loop	Go	1308.2920	3584
fib	Go	1299.2120	3472
nested	Go	58.5008	3472
struct_sum	Go	28.7644	3664
loop_nofold	Go	1296.7100	3632
cpu_bound	Go	579.0500	3632
mix	Go	1806.1780	3632
memory_alloc_struct	Go	5.4047	3600
memory_free_struct	Go	5.0280	3552
memory_arena	Go	5.3298	3600
memory_ownership	Go	5.2583	3552
strings_concat	Go	309.2760	17744
collections_hashmap	Go	6.0268	3840
collections_vec_push	Go	5.4004	8304
algorithms_json_parse	Go	3.5428	3600
concurrency_spawn_tasks	Go	3.2276	3552
concurrency_channel_pingpong	Go	19.8266	3584
hello	Rust	2.6280	1264
arithmetic	Rust	2.5853	1200
dungeon	Rust	2.5663	1200
loop	Rust	1543.6780	1264
fib	Rust	1552.4160	1264
nested	Rust	68.8196	1264
struct_sum	Rust	2.5545	1200
loop_nofold	Rust	1544.6120	1264
cpu_bound	Rust	865.3800	1264
mix	Rust	1990.3540	1264
memory_alloc_struct	Rust	4.6745	1264
collections_vec_push	Rust	6.0170	3264
concurrency_channel_pingpong	Rust	11.3840	3024
