# Nyra comparison — runtime + memory benchmark
# Generated: 2026-06-23T21:27:07Z
# Runs per command: 5 (warmup 1 discarded)
# Time: mean wall clock in milliseconds (lower is better)
# Memory: peak max RSS in KB during timed runs (lower is better)
# Binary size: hello-world release / stripped / UPX (see binary-size.tsv)
# Platform: Darwin arm64
# Nyra build: release; cpu_bound_pgo=release+pgo; Nyra flags: --no-prelude, -march=native (host release default)
# Isolation: languages run in isolation (BENCH_LANG_COOLDOWN=2s between langs)
# Compiled langs: -O3 -flto=thin (Nyra --release, clang/clang++/rustc aligned)
# Note: Nyra/C/C++/Go/Rust/Java = compiled; Node/Python = runtime interpreters


Nyra appears twice:

  • Nyra (Zero Types)
  • Nyra (Explicit Types)

Both generate native code.

The benchmark demonstrates that Zero Types introduces no measurable runtime overhead.

| Suite        | Language               | Time (ms) | Memory     |
|--------------|------------------------|-----------|------------|
| hello        | Nyra (Zero Types)      |     2.1220 |    1040 KB |
| arithmetic   | Nyra (Zero Types)      |     2.1551 |    1040 KB |
| dungeon      | Nyra (Zero Types)      |     2.1290 |    1040 KB |
| loop         | Nyra (Zero Types)      |  1179.0800 |    1040 KB |
| fib          | Nyra (Zero Types)      |  1177.4480 |    1040 KB |
| nested       | Nyra (Zero Types)      |    52.3344 |    1040 KB |
| struct_sum   | Nyra (Zero Types)      |     2.0914 |    1040 KB |
| loop_nofold  | Nyra (Zero Types)      |  1178.3440 |    1040 KB |
| cpu_bound    | Nyra (Zero Types)      |   808.2440 |    1040 KB |
| mix          | Nyra (Zero Types)      |  1527.7020 |    1040 KB |
| escape_local_channel | Nyra (Zero Types)      |     3.6289 |    1040 KB |
| escape_spawn_channel | Nyra (Zero Types)      |    51.4814 |    1072 KB |
| escape_point_sroa | Nyra (Zero Types)      |     2.1064 |    1040 KB |
| memory_alloc_struct | Nyra (Zero Types)      |    11.3199 |    1072 KB |
| memory_free_struct | Nyra (Zero Types)      |    11.0756 |    1104 KB |
| memory_arena | Nyra (Zero Types)      |     4.3540 |    1040 KB |
| memory_ownership | Nyra (Zero Types)      |     3.7169 |    1040 KB |
| strings_concat | Nyra (Zero Types)      |  1475.3800 | 3360208 KB |
| strings_substring | Nyra (Zero Types)      |     4.2802 |    2624 KB |
| strings_replace | Nyra (Zero Types)      |     5.1886 |    2624 KB |
| strings_split | Nyra (Zero Types)      |     4.6796 |    2752 KB |
| strings_utf8 | Nyra (Zero Types)      |     8.5089 |    1040 KB |
| collections_hashmap | Nyra (Zero Types)      |    34.4784 |    8640 KB |
